"IdConglomerado","X_coord","Y_coord","cci.plot","hei.plot","agbd.plot"
57677,365022.452580424,2144496.01281305,25.4718608856201,14.2332134246826,126.659080069306
57681,384966.888265444,2142418.54577423,32.6006240844727,14.0021057128906,110.25564424135
58170,304143.694132878,2140724.90310779,17.5478057861328,13.6322383880615,118.798519921269
58180,354015.589002835,2135542.06103445,25.7533836364746,12.7984294891357,122.758575850494
58420,293648.2145592,2136738.41655481,23.4450531005859,13.3000497817993,112.851281531019
58424,313600.33395011,2134681.04989827,23.9897518157959,9.84195423126221,53.0062605318313
58429,338548.627460973,2132099.90162922,24.6579513549805,14.1611585617065,132.114653091125
58435,368472.755499223,2129009.55655326,35.1964874267578,17.3901176452637,113.715675350919
58674,303136.326271859,2130701.06534648,21.7990303039551,13.6419515609741,163.283499986869
58678,323060.032932188,2128651.99631391,20.2765045166016,14.1775007247925,174.83155692395
58688,372937.130666039,2123533.2778103,25.479606628418,15.8364124298096,112.918909402631
59178,292114.147860292,2121750.61863253,27.054759979248,10.7281484603882,96.2302452376438
59188,341997.786158351,2116640.92074466,9.62660884857178,9.86010074615479,29.0644380721562
59433,301598.856962412,2115747.22565813,22.0897979736328,14.4916772842407,173.453382043487
59443,351440.528404125,2110631.32892521,23.448881149292,9.98376369476318,33.8556602736437
59448,376364.124437146,2108046.39617654,10.1305484771729,5.47819089889526,15.409423289275
59683,286124.375283083,2112285.352587,22.0540065765381,11.0566558837891,87.3782391361563
59698,360903.678197145,2104617.84241802,26.5549354553223,12.9577312469482,128.608674423425
59933,275637.615633753,2108319.44010655,18.3409042358398,8.23329257965088,32.4691775093813
59938,300555.799228359,2105791.54000667,19.8809986114502,14.4424018859863,171.775266861212
59943,325505.856185245,2103226.83853126,21.0339794158936,13.3156070709229,82.1280818577563
59947,345433.381114136,2101177.21036404,28.8068027496338,13.19091796875,46.6129196428
59953,375329.562066226,2098092.8960989,20.9792747497559,14.4263830184937,132.450358715431
60203,354894.155501802,2095167.03439939,13.2853574752808,11.2321548461914,3.9604426068125
60214,409718.20830482,2089397.45582887,16.2778873443604,5.22523307800293,34.2878016459563
60445,294540.09093036,2096323.89350886,10.8504514694214,12.5608320236206,44.6343463749687
60460,369329.101073272,2088680.83335902,16.0675029754639,8.32461071014404,10.9360783035
61225,367844.871394059,2073667.53351879,15.1074590682983,14.0818681716919,95.7363027077938
61720,287007.686490339,2071897.63894857,21.8164863586426,10.216588973999,57.8022074615438
61735,361774.628041482,2064217.9806174,13.0620260238647,13.7158422470093,53.1166889049188
61742,416567.934404885,2058551.06577985,18.9795398712158,7.74019336700439,13.9897348073563
62234,310904.872309391,2059379.25111228,22.8948917388916,11.5214376449585,66.6415028278625
62243,355745.434693148,2054760.31087895,27.1568069458008,13.2281799316406,33.187631885675
62244,360734.439228145,2054268.05946539,15.0260810852051,10.9128446578979,32.3057582126687
62735,280012.962962535,2052479.62931225,25.5969314575195,15.2145462036133,141.036835100125
62739,299936.733639197,2050445.07132104,24.1926822662354,12.3226194381714,87.6714557636875
62740,304923.770029381,2049928.87629781,27.4925708770752,7.78648567199707,51.6054966616437
62750,354746.072027014,2044822.62543444,15.4390163421631,11.0427227020264,150.24557860525
63244,318828.912563081,2038417.80836999,14.3550481796265,8.48036193847656,123.467201947512
63498,308352.959580671,2034461.04957558,29.9791202545166,15.8938970565796,211.933796607375
64291,281922.668112629,2022072.94349977,37.5838241577148,15.2070512771606,123.299448902369
64566,296384.0970983,2015534.25845286,30.3674392700195,15.6162538528442,79.97877127775
64840,305833.408509885,2009552.00499859,12.3461503982544,3.48880052566528,15.297860112625
65120,285391.800878479,2006627.23484216,28.8644828796387,20.0795974731445,194.866988393938
65407,274910.845367684,2002661.48492443,32.1953926086426,16.6711959838867,178.434749142625
65701,284373.036620258,1996653.22598132,33.782901763916,15.148021697998,54.92148830525
65991,268949.275218036,1993194.09071254,17.0906314849854,6.60530948638916,10.3877888085188
65994,288846.954384302,1991155.37412744,24.9769401550293,6.62712430953979,8.6091212935
65995,293843.896913295,1990668.6339119,43.1974411010742,14.3568305969238,171.894472875381
66288,298318.919757438,1985182.59443715,28.9493427276611,15.9374561309814,81.5382453353437
